Timestep	2018	2019	2020	2021	2022
546	281.25	273.35	273.85	275.25	274.65
547	280.05	273.35	273.85	275.85	274.55
548	279.85	273.35	273.85	276.55	275.05
549	279.55	273.25	273.75	278.85	274.95
550	279.35	273.35	273.65	277.65	274.85
551	279.45	273.25	273.65	277.45	274.85
552	279.95	273.05	273.65	278.15	274.85
553	279.05	273.05	273.85	277.65	274.85
554	278.35	273.15	273.85	277.35	274.95
555	277.95	272.95	274.05	277.25	274.85
556	277.35	272.95	273.95	277.05	274.65
557	277.45	272.75	274.25	276.15	274.55
558	276.95	272.75	274.25	275.05	274.55
559	276.85	272.85	274.35	274.55	274.45
560	276.95	272.85	274.35	273.95	274.45
561	276.95	272.85	274.45	273.75	274.15
562	278.55	273.05	274.55	274.35	273.95
563	279.25	273.55	274.85	276.05	274.85
564	279.65	274.25	274.95	277.15	275.55
565	280.05	275.05	275.25	277.15	275.85
566	280.95	275.65	275.45	277.25	276.05
567	281.75	275.35	275.25	277.35	276.35
568	281.95	274.75	275.25	277.05	276.45
569	281.35	273.55	275.25	276.65	276.35
570	282.15	272.55	275.15	276.55	275.75
571	281.55	272.15	275.25	276.45	274.75
572	281.55	271.75	275.25	276.95	274.25
573	281.55	271.65	275.45	276.45	273.85
574	281.65	271.55	275.35	274.55	273.75
575	281.65	271.35	275.45	273.55	273.35
576	281.05	270.85	275.45	273.45	273.15
577	281.55	270.55	274.95	273.35	273.25
578	280.75	270.25	274.65	273.35	273.55
579	280.45	270.15	274.55	273.85	274.05
580	280.05	270.35	274.25	274.15	274.35
581	280.15	270.15	274.05	274.65	274.55
582	279.85	269.95	274.35	274.85	274.45
583	279.65	269.95	274.45	275.05	274.35
584	279.05	269.65	274.65	274.35	274.25
585	278.85	269.95	274.65	274.45	274.25
586	280.45	270.55	275.45	274.85	274.35
587	281.35	271.75	276.75	274.15	274.55
588	282.25	272.65	277.05	274.15	274.85
589	283.75	273.45	277.45	274.35	275.55
590	283.75	274.55	277.55	275.75	275.75
591	284.65	274.45	277.75	275.75	275.85
592	284.75	274.05	277.45	275.35	275.65
593	284.55	274.05	277.05	275.45	275.15
594	283.75	273.65	276.75	274.75	274.65
595	283.65	272.95	276.05	274.55	274.45
596	283.05	272.65	275.75	274.05	274.45
597	282.45	272.45	275.75	274.45	274.25
598	283.15	272.65	275.55	273.75	274.25
599	284.05	272.75	275.95	272.95	274.45
600	283.35	273.15	275.95	273.25	273.95
601	282.95	273.25	275.85	273.25	273.95
602	283.25	273.35	275.85	273.95	273.95
603	283.45	273.65	276.25	273.45	274.15
