Mois	min	max	mean	2014
1	266.75	280.35	273.3	275.15
1	266.55	279.65	273.175	275.05
1	266.45	278.95	273.1625	275.45
1	266.75	279.05	273.5375	276.05
1	266.95	278.15	273.95	276.95
1	267.45	278.15	274.6625	278.15
1	268.25	279.25	275.125	279.25
1	268.85	279.35	275.5625	279.35
1	269.25	279.05	275.4125	279.05
1	269.15	278.55	274.9	278.55
1	268.25	277.95	274.625	277.95
1	267.75	277.55	274.5875	277.45
1	267.05	278.75	274.5875	277.15
1	266.95	279.65	274.725	277.05
1	266.95	280.35	274.7375	276.95
1	266.35	280.95	274.7375	276.85
1	266.25	280.75	274.7125	276.85
1	266.35	280.55	274.6375	276.85
1	266.05	281.05	274.6	276.65
1	265.65	281.15	274.5	276.35
1	265.25	280.65	274.275	276.05
1	264.85	280.05	274	275.75
1	265.15	280.25	273.9875	275.55
1	265.05	279.75	273.875	275.65
1	264.65	279.65	273.7625	275.45
1	264.25	278.85	273.5625	275.45
1	265.15	278.85	273.825	275.55
1	265.55	279.35	274.075	275.85
1	266.45	279.25	274.3625	276.25
1	267.55	279.25	274.625	276.55
1	268.95	280.75	275.2875	276.95
1	269.75	281.95	275.85	277.25
1	270.05	282.15	276.175	277.35
1	269.05	281.55	275.925	277.35
1	268.05	280.95	275.6	277.15
1	268.25	281.25	275.35	276.95
1	268.05	281.45	275.0625	276.75
1	267.75	281.95	274.8875	276.35
1	267.75	282.45	274.75	275.75
1	267.45	282.55	274.5375	275.55
1	267.25	282.25	274.375	275.35
1	266.75	282.15	274.6125	275.15
1	266.25	281.95	274.6125	275.15
1	265.75	281.85	274.5625	275.15
1	265.55	282.35	274.525	275.25
1	265.45	282.45	274.5	275.45
1	265.25	282.15	274.3	275.35
1	264.45	281.65	273.975	275.35
1	263.95	281.35	273.8375	275.35
1	263.75	281.45	273.8	275.45
1	263.75	281.25	273.7375	275.75
1	264.65	281.35	274.1	275.95
1	265.85	281.35	274.725	276.65
1	268.45	281.75	275.65	277.25
1	269.65	283.15	276.425	278.05
1	270.45	283.45	276.975	278.45
1	270.25	282.85	277.1	278.85
1	269.15	283.25	276.825	278.85
1	267.95	283.45	276.125	277.45
1	267.35	282.75	275.2875	276.35
1	267.45	282.95	274.7125	275.15
1	267.35	282.95	274.3	274.15
1	267.05	282.65	273.9	273.45
1	266.95	282.55	273.6875	273.15
1	266.65	282.45	273.6625	272.85
1	266.35	282.15	273.625	272.75
1	265.95	281.45	273.4125	272.75
1	265.35	281.05	273.375	272.85
1	264.65	281.05	273.5375	273.15
1	263.85	280.85	273.4	273.55
1	263.65	280.25	273.4	274.05
1	263.25	279.85	273.175	274.05
1	262.95	279.65	273.025	274.35
1	262.75	279.15	272.9	275.05
1	263.25	278.75	273.1375	275.85
1	265.65	279.35	274.1375	277.15
1	268.15	280.25	275.2	277.75
1	270.25	280.85	276.175	277.75
1	271.55	281.45	276.9625	277.95
1	271.65	281.65	277.1125	278.25
1	271.95	282.35	277.2875	278.55
1	270.65	282.65	276.9	278.65
1	268.65	282.15	276.1125	278.35
1	267.15	280.85	275.225	278.05
1	266.95	279.15	274.5625	277.65
1	266.85	278.75	274.125	277.35
1	266.85	278.55	273.975	277.45
1	266.35	278.25	273.5375	277.15
1	265.85	278.15	273.25	276.35
1	264.95	278.15	273.05	276.45
1	264.55	278.15	272.7375	275.85
1	264.85	278.15	272.475	275.85
1	264.65	277.95	272.325	275.75
1	264.85	277.15	272.375	275.55
1	264.65	276.75	272.225	274.35
1	264.65	276.65	271.9625	274.05
1	264.25	276.95	271.85	273.75
1	264.05	276.75	271.7625	273.55
1	264.25	276.95	271.8875	273.85
1	264.85	276.95	272.5	273.65
1	265.35	277.65	273.35	274.15
1	266.15	280.05	274.4	275.25
1	267.15	281.75	275.1625	275.75
1	267.65	283.05	275.55	275.35
1	267.45	283.95	275.725	275.75
1	267.35	284.85	275.5375	276.25
1	267.25	284.25	275.1	274.85
1	267.25	282.95	274.475	273.85
1	267.25	281.35	273.8375	272.75
1	267.35	279.25	273.15	272.05
1	267.35	278.15	272.7625	271.45
1	267.55	277.55	272.45	270.65
1	267.65	278.45	272.5	270.15
1	267.55	277.35	272.1875	269.75
1	267.65	277.95	272.0875	269.05
1	267.45	277.85	272.0125	268.85
1	267.35	277.35	271.9125	268.65
1	267.15	276.55	271.8	268.35
1	266.85	275.75	271.525	267.95
1	266.55	276.25	271.4375	267.45
1	266.55	277.65	271.5875	267.35
1	266.65	279.35	271.8	266.95
1	266.75	279.15	271.925	267.95
1	266.95	280.15	272.8	269.95
1	267.05	282.85	274	271.75
1	267.25	283.75	274.95	272.75
1	267.45	284.15	275.575	273.55
1	267.85	284.85	276.05	273.85
1	267.95	284.75	276.2375	274.25
1	267.95	284.85	276.025	274.35
1	267.85	284.15	275.3875	274.25
1	267.65	283.25	274.7	274.05
1	267.35	281.85	274	273.95
1	267.35	281.05	273.425	273.75
1	267.05	280.45	273.0625	273.55
1	266.95	280.35	273.025	274.65
1	266.95	279.85	273	275.95
1	266.25	280.15	273.0875	277.65
1	265.55	279.05	272.9125	277.75
1	264.35	278.85	272.7125	277.75
1	263.95	278.15	272.475	277.45
1	263.55	277.55	272.0625	276.25
1	263.35	277.15	271.95	275.85
1	263.45	277.05	272	275.65
1	263.05	276.45	271.75	274.65
1	263.35	276.95	272.05	275.15
1	264.15	277.25	272.2125	275.45
1	266.05	277.55	272.9	276.45
1	266.85	278.25	273.9125	277.15
1	267.35	281.45	274.9875	277.55
1	267.95	283.65	275.8875	277.75
1	268.65	284.65	276.525	277.95
1	269.15	285.85	277.0875	277.85
1	268.55	285.65	276.925	277.85
1	267.75	284.45	276.35	277.75
1	267.45	281.65	275.75	277.65
1	267.25	279.85	275.375	278.55
1	266.85	278.65	275.0125	278.35
1	266.75	278.05	274.6125	277.55
1	266.75	277.85	274.325	276.75
1	266.45	278.15	274.2125	276.95
1	266.45	278.15	274.4125	277.95
1	266.35	278.55	274.45	278.55
1	266.15	278.85	274.225	278.85
1	265.75	278.95	274.225	278.95
1	265.45	277.85	274.225	277.35
1	264.55	277.95	274.1375	277.65
1	264.15	277.95	273.85	276.55
1	264.15	278.25	273.875	275.45
1	264.65	278.15	273.875	276.25
1	265.35	278.05	274.1	276.45
1	266.55	278.15	274.7	276.65
1	269.45	278.55	275.95	277.25
1	271.85	280.35	277.3125	278.55
1	273.65	282.35	278.025	279.15
1	275.15	284.75	278.6875	278.65
1	275.65	286.25	278.825	276.45
1	273.65	285.95	278.425	277.35
1	272.15	283.45	277.6375	276.15
1	271.75	282.75	277.0625	275.55
1	271.65	282.75	276.8875	275.25
1	271.35	282.15	276.5	274.95
1	270.95	281.65	276.05	274.45
1	271.25	281.65	275.775	273.75
1	270.65	280.65	275.275	273.75
1	270.55	280.15	275.1125	273.35
1	270.35	280.25	274.9125	274.05
1	269.45	280.05	274.55	274.05
1	269.75	279.45	274.2375	273.65
1	269.95	279.75	274.1	273.05
1	269.55	279.25	273.8875	272.55
1	269.75	279.25	273.825	272.15
1	269.55	280.45	273.85	271.95
1	269.55	279.45	273.7	271.65
1	270.75	279.95	274.075	271.95
1	271.75	280.25	275	273.65
1	273.05	282.15	276.1875	274.65
1	274.05	283.75	277.325	275.85
1	274.65	285.15	278.2875	276.65
1	274.75	285.75	278.775	277.15
1	274.85	285.75	278.95	276.85
1	274.45	285.25	278.4875	276.15
1	273.65	284.05	277.6125	275.45
1	273.15	282.65	276.725	274.25
1	272.75	282.35	276.2125	273.45
1	272.55	282.15	275.8875	272.55
1	272.15	282.35	275.625	272.15
1	271.95	281.15	275.2875	271.95
1	271.95	280.85	275.1375	271.95
1	271.75	281.95	275.15	271.75
1	271.35	281.95	275.0125	271.35
1	270.85	282.05	274.8625	270.85
1	270.45	282.35	274.9125	270.45
1	269.85	281.75	274.425	269.85
1	269.75	281.25	274.275	269.75
1	269.35	281.05	274.2125	269.35
1	269.25	281.05	273.9875	269.25
1	269.35	280.55	274.2625	269.35
1	270.15	280.65	274.6875	270.15
1	271.15	281.25	275.4	271.15
1	271.95	283.65	276.5375	272.05
1	272.75	284.35	277.35	272.85
1	272.65	284.25	277.8875	273.95
1	272.65	283.75	278.175	275.05
1	272.75	283.75	278.375	275.45
1	272.75	283.85	278.15	275.05
1	272.85	282.95	277.425	274.65
1	272.75	282.05	276.65	274.15
1	272.25	280.55	276.0625	273.85
1	271.55	279.15	275.5125	273.65
1	271.05	278.85	275.25	274.05
1	270.55	278.45	274.925	273.75
1	270.65	278.35	274.7125	273.55
1	270.75	278.95	274.675	273.05
1	270.85	279.25	274.675	272.65
