2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
220	39	27	19	51	69	64	24	120	70.33333333	220	19
330	50	78	90	85	100	71	49	235	120.8888889	330	49
383	63	110	255	59	112	73	132	336	169.2222222	383	59
400	30	183	147	76	186	42	142	283	165.4444444	400	30
335	57	173	108	74	113	62	164	371	161.8888889	371	57
219	38	60	78	60	93	53	94	184	97.66666667	219	38
94	15	36	37	53	54	16	83	106	54.88888889	106	15
12	3	5	8	5	7	8	31	50	14.33333333	50	3
3	1	1	1	1	1	1	2	3	1.555555556	3	1
3	1	2	2	1	1	1	1	2	1.555555556	3	1
3	1	1	2	1	1	1	1	2	1.444444444	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
9	1	4	5	4	3	1	1	1	3.222222222	9	1
105	23	105	48	88	32	10	18	17	49.55555556	105	10
216	64	221	99	228	137	60	129	127	142.3333333	228	60
336	62	294	73	348	196	117	255	253	214.8888889	348	62
399	75	316	124	283	224	256	345	349	263.4444444	399	75
399	99	243	367	196	172	292	391	390	283.2222222	399	99
328	134	138	238	184	134	204	414	393	240.7777778	414	134
215	41	82	245	66	143	163	164	307	158.4444444	307	41
96	15	40	99	39	39	92	98	176	77.11111111	176	15
12	3	6	9	7	6	39	55	53	21.11111111	55	3
3	1	1	2	1	1	2	3	4	2	4	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	2	1	2	1.555555556	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
7	5	5	3	5	5	1	1	1	3.666666667	7	1
92	52	39	36	47	37	15	30	19	40.77777778	92	15
219	83	81	74	128	136	79	137	125	118	219	74
331	246	170	136	131	308	111	180	248	206.7777778	331	111
389	399	219	81	252	437	124	334	343	286.4444444	437	81
393	348	168	90	141	365	131	397	391	269.3333333	397	90
326	128	90	66	141	169	132	387	385	202.6666667	387	66
213	173	39	56	111	129	144	294	308	163	308	39
94	62	20	16	38	64	61	192	171	79.77777778	192	16
12	14	4	4	5	7	17	63	56	20.22222222	63	4
3	1	2	2	1	1	1	5	4	2.222222222	5	1
3	1	2	2	1	1	1	1	2	1.555555556	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	2	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
6	3	2	2	7	3	1	1	1	2.888888889	7	1
86	74	21	15	28	31	12	11	17	32.77777778	86	11
217	204	50	30	90	64	52	37	139	98.11111111	217	30
334	241	121	48	122	117	76	51	104	134.8888889	334	48
390	304	130	60	173	145	244	69	150	185	390	60
393	304	232	54	166	106	116	48	105	169.3333333	393	48
317	218	151	39	177	93	125	34	70	136	317	34
207	77	77	29	121	68	134	41	33	87.44444444	207	29
90	61	34	18	98	42	26	36	14	46.55555556	98	14
17	8	5	7	6	5	34	17	5	11.55555556	34	5
3	1	2	1	1	1	3	2	1	1.666666667	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	0	1	1	1	1	1.111111111	3	0
3	0	1	1	0	1	1	1	1	1	3	0
3	1	1	1	0	1	1	1	1	1.111111111	3	0
