Timestep	2016	2017	2018	2019
750	285.45	281.55	280.05	278.45
751	284.95	281.45	279.85	278.75
752	284.85	281.25	279.35	278.95
753	284.85	281.35	278.65	279.15
754	285.65	281.25	279.15	279.35
755	286.25	281.05	279.45	279.45
756	286.75	281.85	279.75	279.15
757	287.15	282.25	280.05	279.15
758	287.55	283.35	280.45	278.45
759	287.95	283.95	280.35	278.15
760	287.05	285.35	280.45	277.55
761	286.45	285.85	280.35	277.25
762	286.35	284.85	280.35	277.05
763	286.15	283.85	280.05	276.75
764	285.65	282.55	279.65	276.55
765	285.25	281.95	279.15	276.35
766	284.85	281.05	279.05	276.55
767	284.55	280.25	278.55	276.75
768	284.15	279.85	277.65	277.15
769	283.65	279.95	277.95	277.15
770	283.25	279.55	278.05	277.05
771	283.25	279.15	277.55	276.95
772	283.15	278.65	276.95	276.95
773	283.65	278.35	276.15	276.85
