Timestep	2021air	2021sol
1213	11.4	4.2
1214	12.4	4.3
1215	13.2	4.4
1216	13.8	4.5
1217	13.8	4.6
1218	11.7	4.8
1219	10	4.9
1220	8.2	5
1221	6.8	5
1222	5.7	5
1223	4.4	5
1224	3.5	5
1225	3.2	4.9
1226	2.2	4.9
1227	1.3	4.8
1228	0.7	4.7
1229	0.7	4.7
1230	0.4	4.6
1231	0.1	4.5
1232	-0.1	4.4
1233	0.8	4.3
1234	3.6	4.3
1235	7.1	4.2
1236	9.6	4.2
1237	11.2	4.2
1238	12.8	4.3
1239	14.1	4.4
1240	15	4.5
1241	15.3	4.7
1242	12.8	4.8
1243	10.5	4.9
1244	8.3	5
1245	6.5	5.1
1246	4.9	5.1
1247	3.9	5.1
1248	3.3	5
1249	2.1	5
1250	1.9	4.9
1251	1.7	4.8
1252	1.1	4.8
1253	0.6	4.7
1254	0.7	4.6
1255	0.6	4.5
1256	0.8	4.4
1257	1.2	4.4
1258	2.9	4.3
1259	5.5	4.2
1260	7.6	4.2
1261	9	4.2
1262	10	4.2
1263	11.5	4.3
1264	12.5	4.4
1265	12.5	4.5
1266	11.3	4.6
1267	9.7	4.7
1268	8.3	4.7
1269	7.4	4.8
1270	6.4	4.8
1271	5.2	4.8
1272	4.4	4.8
1273	4	4.8
1274	3.1	4.7
1275	3	4.7
1276	2.6	4.6
1277	2.3	4.6
1278	1.5	4.5
1279	2.1	4.5
1280	1.8	4.4
1281	2.1	4.4
1282	4.8	4.3
1283	7.7	4.3
1284	11.7	4.3
1285	13.3	4.3
1286	14.1	4.4
1287	14.7	4.5
1288	15.2	4.7
1289	15	4.8
1290	14.2	5
1291	12.1	5.1
1292	10	5.2
1293	7.9	5.3
1294	7.9	5.3
1295	7.2	5.3
1296	5.5	5.3
1297	5.3	5.2
1298	5	5.2
1299	4.4	5.1
1300	3.8	5.1
1301	2.9	5
1302	3	5
1303	2.7	4.9
1304	2.1	4.8
1305	3.2	4.8
1306	4.8	4.7
1307	8.9	4.7
1308	12.2	4.7
1309	14	4.7
1310	15.2	4.8
1311	15.7	4.9
1312	16.2	5.1
1313	16	5.2
1314	14.8	5.4
1315	12.4	5.5
1316	10.8	5.6
1317	8.7	5.7
1318	7.4	5.7
1319	6.4	5.7
1320	6	5.7
1321	4.6	5.6
1322	4.3	5.5
1323	3.6	5.5
1324	3.1	5.4
1325	2.3	5.3
1326	2.4	5.3
1327	2.2	5.2
1328	1.7	5.1
1329	2.4	5
1330	5.7	4.9
1331	9.5	4.9
1332	12.1	4.9
1333	14	4.9
1334	15.2	5
1335	16.1	5.1
1336	17	5.3
1337	17.2	5.4
1338	15.2	5.6
1339	12.1	5.7
1340	10.5	5.8
1341	8.6	5.9
1342	8.4	5.9
1343	8	5.9
1344	7.5	5.8
1345	7.2	5.8
1346	6	5.8
1347	5.3	5.7
1348	5.7	5.6
1349	4.1	5.6
1350	3.7	5.5
1351	3.1	5.4
1352	3.2	5.4
1353	3	5.3
1354	5.7	5.3
1355	9.2	5.2
1356	12.1	5.2
1357	13.6	5.2
1358	14.4	5.3
1359	14.3	5.4
1360	14	5.5
